review,sentiment,sentiment_pred
المسلسل لي تحكو عليه والله سمعت بيه كان من تعليقاتكم ههههه كفاش تتفرجو عليه و كفاش يطاوعكم قلبكم تشوفو هاذي التفهات الله يهدي,Negative,negative
تافه وحتي المخرجين الي اتعامل معاهم يعرفوه هاك علاش ما يعطيوه كان دور قوااد والا عساس والا لحاس,Negative,negative
برافو عقليه الاعتذار ما فهموهاش جتهم صعيبه عباد خدمتها التنبير والبندير,Positive,negative
حليلك يا مهدي شنوه باش تقاصي,Positive,negative
كارثه متنقله ها الفاسقه,Negative,negative
اش باش تردوه علاش ملايكه ماو طحان مثل بقيه برشه طحانه,Negative,negative
غبي لدرجه تجعله يتخيل ان المشاهد لم يتفطن للونه النهضاوي من اول ظهوره في هذا البرنامج مقاطعاته المتعمده لكل متدخل يتكلم في الترويكا و خصوصا النهضه وحلفايها فيه استفزاز الي حد التشويش,Negative,negative
سامي كراكوز,Negative,negative
توفيق الغربي نوع من الارهاب السمعي و البصري والمعنوي بالنسبه ليا خييبييبببببببت,Negative,negative
ماشيه و تعدم و تمساط ولات تقزز يا حسره علي بيه متاع قبل يا لطيف اللطف,Negative,negative
مسكينه انتي انسانه مريضه واحمد الاندلسي يشرفك ويعرفك يا ماصطه شكونك انتي جرد ممثله,Negative,negative
توجع الراس,Negative,negative
معلم كريم,Positive,negative
معلم توتو,Positive,negative
مستويات ههععع,Negative,negative
طحانه,Negative,negative
جعفورر,Positive,negative
عبيط واقرع وزمباوي,Negative,negative
تحيه للاب المناضل,Positive,negative
الله يرحم والديك كيف رحمه اناس ربي اجازيك كل خير وربي يعتيك علا قد قلبك,Positive,negative
امسط واعدم عباد ربي,Negative,negative
رجل دين لكنو منافق و مراوغ ربي يهديه غلي علينا الخبزه,Negative,negative
لا يليق بهذا البرنامج,Negative,negative
مبرووووك بنت لجنوب,Positive,negative
حقيقه شيء مخزي وعار علي الامه العريه كل هذه التفاهات التي يقدمها اع مها سواء في تونس او غيرها كل ما يبثونه من برامج يتناسب مع ما نحن فيه و يخدم قضيتنا التي تركناها وتفرغنا للمسلس ت التافهه والبرامج القذره التي تنخر افكار شبابنا وعقول صغارنا وهذا ما يريده الغرب ان نبقي غافلين عما نحن فيه امتنا تشتت وثرواتنا تنهب وشبابنا يقتل ويكفر في بعض تبا لهذا الاع م ولهذه القنوات الفاسده التي تصلح لشيء ا الي زرع الفتنه و اشاعه الفاحشه وتدمير القيم والاخ ق,Negative,negative
ريم الرياحي محلاك محلاك محلاك مللخر هذي المرا التونسيه,Positive,negative
مستوي منحط يا علام العار,Negative,negative
الناس الكل تحبهابرشه برشه,Positive,negative
مستوي منحط,Negative,negative
تافه وماسط وبليد ويقزز وساقط و واطي وتفوه عليه,Negative,negative
هههههه احنا اعجبتنا في التمثيل,Positive,negative
الي يعجبني فيه ضمارو التلقايي معلم,Positive,negative
محلي زينك كل يوم حبك يزيد كل يوم و جمالك يزيد نوره الحلقه والله انا نحبك و نقلك واصل,Positive,negative
نور شيبه ديما متالق ديما يصنع الجو و ربوخ وهره و قد و صوت,Positive,negative
انتهازي,Negative,negative
كلب,Negative,negative
اعز رابارات في تونس بلطي و كافون,Positive,negative
بالرجوليه ماسط ويا سامي راجع الفريق متاعك,Negative,negative
رجال والله صاحب موقف ويعجبني الي يصارح بكل تلقاييه,Positive,negative
برافو لطفي واصل انت ممثل وكوميدي موه وب عندك طريقتك الخاصه صحيح اما زاده عندك برشا ناس تحبك وتعتبر ناجح والنتيجه التتويجات,Positive,negative
خدام و يحب يوصلربي معاك و عمل علي روحك ممثله مزيانه و عندها لقبول تنجح هههههههه روعه برافو ناجي جلول ممثله تحفونه برشا تعودنا بيها في الادوار الكوميديه نوفل الورتاني افضل منشط معلم يا جعفور وحدك يا شيخ يا تحيفه التلفزه في رمضان مساطت بلا بيك كرمك الله,Positive,negative
والله مسلسل حلوي برشا,Positive,negative
سيده المسرح,Positive,negative
امسط منهم ماريتش العربي و كريم و زعيمهم نوفل,Negative,negative
برشا ضحك روعه,Positive,negative
الكبير كبير يا بابا,Positive,negative
لها شان في التمثيل مستقبلا ربي معاها وان شاء الله من حسن الي احسن,Positive,negative
حسين الديك والله حفلها منور كلام الناس و منور تونس و باش تنورنا في سوسه,Positive,negative
وليد التونسي معلم اشكون باش يتكلم,Positive,negative
برافو احمد الاندلسي راجل وابن راجل وموقفك كله رجوله,Positive,negative
مسطوها تقسط علينا كمرت البو صب الحلقه و يزي فك,Negative,negative
نكره وقاحه في الحديث مع من هم اكثر منها علما مثل الشيخ وز ادا مع وليد التونسي الي هو اشهر منها تمادت في تفاهتها الله يهدي,Negative,negative
احمد الاندلسي يقريك يا بهيمه و الملهط تدافع علي الميبون و لو كان موش كرني الكريدي ما تدخلش التلفزه,Negative,negative
قداااااااش ماسط ططططط متع الوزير في القهوه تكب سعدها تونس,Negative,negative
اعوذ بالله,Negative,negative
برافو عماد دغيج علقل رفعت روس التوانسه ماخليتش بن علي يضحك علينا الليله براااااافو,Positive,negative
تفووووووه عليها,Negative,negative
عسسسسل اما في احلي صباح علي موزايييك احسن,Positive,negative
بهي ومحترم حدها حد روح,Positive,negative
شكرا نوفل علي استضافتك للنجمه المتالقه دوما ملكه الاحساس ميساء الماجري محبوبه الجماهير,Positive,negative
كل مره يجبولنا جرثومه الله يهلكهم,Negative,negative
عسل,Positive,negative
قحبه كبيره,Negative,negative
مغفل,Negative,negative
عندك كريزمه و وهره يا وجيهه الحسيلو الحوت عليك,Positive,negative
هو و مقداد السهيلي حقهم ياخذو نوبل للمساطه و التفاهه و التبندير,Negative,negative
يهلكهم ربي,Negative,negative
الاخت محرزيه سياسيه راقيه في الفكر و التفكير,Positive,negative
اعز و احلي و احسن ممثل قداش يعجبني و يضحكني برافوا لطفي,Positive,negative
منوره,Positive,negative
ماشاءالله عليهم البنيات يفرهدو عالقلب هاجر وهند محلاهم محلاهم وربي يحفظلهم بوهم ويلم شملهم علي خير من احلي حلقات البرنامج,Positive,negative
عملت العاااااااار لا ذات ولا صفات,Negative,negative
لغه الحوار مفقوده مسلسل اتفه من التفاهه حقا القاضي الرحموني لم يكن مقنعا في تبريراته حول سراح المشتبه بهم في قضايا ارهابيه لذا كان عليه ان يصمت احسن جاهل متاع راس لنبوط اوووه ممسطو وكان مشي عمل حاجه اخري خير ملا مجانين وسامي معاهم امسط انسان علي وجه البسيطه تجمعي تعيس ماعندوش اخلاق وزايد جايبينو عمري ما ريت قفه كيما ريتها اليوم برا ربي يخزيكم كيف ما خزي اليهود و يمسخكم كيما مسخهم بصراحه يخوف يظهر كلوشار حاله حليله بالوشم هز مارق جيب مارق ماسطه برشه مخيبو مخيب وجهو هالاحول الحمدلله مرتاحين من منذرو هل اسمو شكيب مرزن ملايكتو و طينتو الكل ماسطين منحط لا تربيه لا ثقافه تو من قله المسرحيين جايبينو هنكره و تو هذا تسميوه مسرحي من اصلو بربي فيق شويه علي روحك انت ماعندكش اغاني تتسمع اصلا و راك اتعس نقابي عرفتو تونس و ماكش شيخ اكبر شعب منافق هو الشعب التونسي في الشارع بعد الثوره تسمع كلام يقشعر البدن و في التلفزه نوليو شعب كامل محافظ بربي يزيو من الريق البارد العيب في مقدم البرنامج اللي وضع تلك الصوره لامراه شبه عاريه انا امي صفاقسيه و محسوب صفاقسي مولود و عايش هوني في صفاقس اما الصفق خايبين عنصريين و حقاره و مسمامين و ما يحبوا حد و دينهم الفلوس و المظاهر مش تسخف تتزعبن لاعبتها قافزه و تتشنفخ راك مجيت شي و كيما قال كافون راك ماست راك لاسط شكون انت باش تحكي علي احمد الاندلسي غير توصلو مسقتها ايناس ومعجبتنيش الحلقه مسخه مكانش امصط منكم يا مصطا ولاد الفساد وفله الحياء وقله المعروف والفجور والفسق والخروج عن طاعه الله في شهر كريم هذا نموذج من الاعلام التونسي الفاسد الرديء والمشجع رقم للفساد والفجور القوه الربي كل مره امسط ملي قبلها تي برا روح خلط في خلط حكايه فارغه و قصه سخيفه لوكان لهوفتوه المسلسل من عمناول خير مالطول الفارغ سيناريو ردي و فازات محروقه مسلسل بارد ماسط قناه الحوار علي قد ما عطيناكم ثيقتنا علي قد ماقاعدين تخدلوا فينا احنا مانكرهوكمش اما انتم ماتحبوناش راك ماسطهراك لاسطه مغرور وتافه لا يريد الا الاطراء والتمجيد ويكفي انه يشتغل في قناه السارق سامي الفهر غلام الطرابلسيه لقد وضعته الصدفه ليكون في مشهد اعلامي لا يتربع علي عرشه الا الاراذل ويني حلقه سامي الفهري الي باش تكسر الدنيا طولت برشا لكن في الاخير طلعت بصاص كيما معز بن غربيه و البقيه فكر متشدد ديني نهضاوي خوانجي صحيح الكلمه عيب و ما تجيش اما كيما قال يستفزو في الناس بصور خليعه يحترموا شويه الي قدامهم ايكب سعدك يا قطعي يا وبش يا وخياني اش نكرهم جماعه النهضه الصوره التي عرضتوها عليه اوقح من الكلمه لي قاله عيب عيب بربي بيه دقيقه دقيقتين و هي تهبط في المريول و هي روبا راك مرجتنا تحب تقول عزوزه و مازلت عندك ما توري بربي احشم شويه و اعطي شويه قدر لعمرك راك غلبت علينا ووووه اش كرهتو ها المسلسل,Negative,negative
يا بهيايم جماعه كلام الناس زعمه هذا لمل صدفه نهار مارس يوم الارض جايبين علي اليهود ملا طحانه و عملاء,Negative,negative
ما نبالغش كنقول تونس كامله تحبها كممثله ناجحه ومن احسن الممثلات في تونس,Positive,negative
ملا تافه,Negative,negative
يا امين صلي علي النبي قلو تكفيريين في صفاقس,Positive,negative
عسل,Positive,negative
المراه الحديديه احبها فالله,Positive,negative
لا حول ولا قوه الا بالله تفوههههه,Negative,negative
صوت رايع جدا و جمالها غير عادي صوتها متاع مباشر ماهيش كيما مطربات الماكينه و الصوت المضروب بالفلسه و المونتاج و التركيب و التحسين,Positive,negative
لا تفرجت في مكتوب ولا اولاد مفيده قاطع و الرخ لا قناه الفساد رمضان شهر العباده و انتوما وراكم لوبيات فساد تدعم في الفهري اليوم في جوهره صحفيه تدعو الاباء لعدم السماح لابناءهم بمشاهده المسلسل خاطر قله الحياء و الحمد للله مازال فما شرفاء و مسلمين علي قاعده,Negative,negative
مريم مريمتي محلاك مريومه وفسخ وبدا من جديد,Positive,negative
مهضوم ومنشط روعه تحياتي,Positive,negative
قصه رووووووعه وخدمه في حقها,Positive,negative
ملا رهط العيب موش فيه في الاعلام الماجور اللي عمل لناس هذ قيمه التافه ولا عندو قيمه فالبلاد تاااااااافه تفووووووه عليك احمق خماج فولغار مالقيت مانقول رخس لا تعليق وكيما ال هاني جاي فالتوالات,Negative,negative
شكرا علي هده الباقه الجميله من الضيوف حقا كانت سهره رايعه,Positive,negative
كمشه بهايم في البرنامج وينك يا شكيب يا معذبهم,Negative,negative
شلاكه تحكي عالفيلم قالت دخلت امها تلقاه فوقها تو هذا مستوي تع حديث,Negative,negative
انا ملي شفت الضيوف وشفت فيهم الغربي عرفت الي الحلقه فاشله بامتياز,Negative,negative
بورحوليه الراجل هذا وقفلي مخي كيفاه يحب يرجع بن علي تي مالا وعلاه احنا عملانا ثوره خمر و زنا و فساد و قله حياء من فوق,Negative,negative
ما لقيتو كان ها البهيم النهضاوي تجيبوه للقناه مواقفو ظاهره متعاطف جدا مع حكومه الترويكا و مبيض للارهاب بطريقه غير مباشره,Negative,negative
حلووه بشر,Positive,negative
برجوليا ما يعجبنيش ماسط لاسط و ما يعرفش يحكي,Negative,negative
قحاب,Negative,negative
حتي بالخل والجفال ما يتهضمش,Negative,negative
يعتبر من اسباب الارهاب,Negative,negative
الحلقات الكل حلوين احسن مسلسل ولاد مفيده و دنيا اخري برافو,Positive,negative
عقربي و جبريا و عل حيط,Negative,negative
راجل,Positive,negative
البت دي خبره مرمدك سيدك وليد يا كلبه تونس برجالها و اسلامها و دينها واضح الاسلام والكلاب لتنبح كيفك عندها الرجال لتسكتكم,Negative,negative
منين جباه هل البقره,Negative,negative
بصراحه نور شيبا,Positive,negative
عبيط و اقرع و ماصط,Negative,negative
وجيهه تبقي تبقي دايما وجيهه,Positive,negative
مح ها او مح صوتها,Positive,negative
انا نحبها كوثر بالحاج وخاصه في شوفلي حل,Positive,negative
ماحالاها العايله كي تحب بعضها و الاولاد يحبو والداهم و يدللاهم في كبرهم ربي يطول اعمارهم و يطول عشرتهم و يهناهم,Positive,negative
برافو وليد محلا كلامك بردتلي علي قلبي والله وربي يسترنا,Positive,negative
وحدك يا جعفوره يا باهي,Positive,negative
مسلسلتافه لممثلين تفه في قناه تافهه,Negative,negative
عبد الفتاح مورو معلم,Positive,negative
موش نورمال جو احلي و اقوي مسلسل و لي معجبوش ميتفرجش و اني نستني باش نتفرج عليه,Positive,negative
ماسط لاسط بفففففففف,Negative,negative
بدايه محترمه,Positive,negative
ممثل ناجح و تستحق الجايزه,Positive,negative
للشهامه عنوان,Positive,negative
ماسط,Negative,negative
لعنه الله علي الفاسقين والفاسقات اللهم اطمس علي اموالهم واشدد علي قلوبهم واخسف بهم الارض حتي يتبن لهم انه الحق اللهم انهم ضلوا واضلو كثيرا من خلقك عن سواء السبيل اللهم دمر الزناه والزانيات في تونس وطهر بلدنا منهم فانهم تجاهرو بمعصيتك وتمادو فيها اللهم ببركه شهرك المبارك افتح عليهم بابا من عذابك يارب العالمين فانهم اشد فسقا من قوم عاد وثمود ولوط امين يارب العالمين,Negative,negative
توفيق الغربي رديء ومبتذل,Negative,negative
تبارك الله علاها,Positive,negative
قمه التفاههجبالك الرواسي و لا عبدك الثقيل الرخص,Negative,negative
الغنايه ناجحه الصوت ناجح,Positive,negative
معلم نور شيبا,Positive,negative
عندكم كان هو,Negative,negative
روعه يا سامي الفهري,Positive,negative
معلم,Positive,negative
ماسسسطط,Negative,negative
ماسط ماسط ماسط متاع,Negative,negative
صدقني يا شيخ المحاماه تواتيك خير مالسياسه فك عليك منهاولسانك تباركالله عليه لي يغلبك بوه باي,Positive,negative
اذهب وهف يهزك العيب مش فيك فلي عاملك قيمه و قدر و جايبك تحكي قالو حقوق لا يحقلك حق انت ليك واحد يحكلك الفلفل فماشي ما تولي امك تقول جبت راجل و خسرت عليه طهاره اللهم لا تاخذنا بما فعل السفهاء منا,Negative,negative
مخيبك,Negative,negative
وجيهه الجندوبي هي الماسطه وفسدت المسلسل الكل,Negative,negative
