clean_text,sentiment
بصراحة وهرتو وحدها ديما مشيخنا لمعلم,Positive
شيخه ظحك,Positive
العاهرة تشتغل بمخور,Negative
أسفي علا زمن يتحدث فيه مثلي و تتحدث فيه عاهره على الشرف راك ماسطاااا راك لاسطااااا ههههه ماسط يمكن لكن الامسط منو شكيب,Negative
ريم عندو لحق رجلك إغير عليك ي زين وعين وأخلاق محلاهاا,Positive
وحدك في الوهرة يا كيمو و بكلهم غايرين منك نمووووت عليك محلاك,Positive
نور شيبة وين ما يكون ديما ناجح ملا وهرة و ملا فن محلاه عندو تسمع التراث و الكلمة الحلوة المنسية,Positive
تعجبني وجيهة كيف تمثل فالمسلسلات ونحبها ونموت علاها,Positive
عزيمه إصرار نجاح مدرسة من الإحسان ربنا يوفقهم,Positive
نحن فنانين صفاقس ومقداد السهيلي لايمثلناولانعترف به,Negative
عندوا القبول و انشاء الله ربي معاه,Positive
كمشه موبن واقحاب يعطونيش مال الدنيا ما نتفرج فيهم هوما و اي قناة تونسية,Negative
برافو ناجي جلول,Positive
قناة الدعارة تبا لكم,Negative
انت احسن فنانة في تونس ربي معك وراني نحبك برشششششش,Positive
ممصط دين رب أمك,Negative
من احسن الممثلين في تونس بالتوفيق انشاء لله المسرح فن راقي وابدع فني انشاء لله بالنجاح في كل الاعمال,Positive
لمين النهدي امبرطور الكوميديا واللون الاحمر ضواه ماحلاك يا لمين,Positive
ناجي جلول,Positive
من أحسن الممثلين في تونس انشاء الله من حسن الى أحسن,Positive
زهير الذوادي محلاك محلاك هههههههههه,Positive
ياسر يعجبني ربي معاه,Positive
ممسطو,Negative
انشاء الله ربي يحلها في وجهك يا لطفي رانا نحبوك برشااااا,Positive
ماسطه لحقيقه,Negative
برجولية ممسطك يا لطفي قداكش بلييييد,Negative
مقداد السهيلي عفاط,Negative
اش لزك,Negative
برشا سخافة و رخس و قلت تربية والله اول مرة نتفرج فيه خاطر حطينو في القهوة و اخر مرة زادة,Negative
تحياتي لهاتة الاستاذة تحياتي لهاتة الاستاذة تحياتي لهاتة الاستاذة تحياتي لهاتة الاستاذة تحياتي لهاتة الاستاذة,Positive
من أفضل الحلقات التي شاهدتها حلقة ممتازة و راقية على مستوى النقاش و التفاعل و الأسئلة و تحية الى الضيوف الكرام الذين ارتقوا بهذه الحلقة,Positive
مرزنها ممصتها,Negative
قالولي متجيش وشنو هاذي الغنية الماسطة ؟؟؟,Negative
جلطام,Negative
تعجبني وجيهة على خاطر تخدم على روحها ومايهمها في حتى شئ,Positive
أنا نكره الكذب حتى في المسلسلات,Negative
ضايع فيييييييها و مصطك زاده,Negative
وجيهة ربي ايوفقك,Positive
توفيق الغربي أبرز مثال للانحطاط أي تقافة ينجم يوصلهالنا انسان عديم الثقافة والأخلاق,Negative
تحفونة حبيتها حنان شقراوي قنبلة الساحة، بأتم معنى الكلمة ما شاء الله عليه أخلاق عالية و كلام موزون تعجبني بارشا وجيهة في تونس ما تلقاش فنانة كيفها وحدك يا جعفور زهيتها السهرية ربي يوفقك ان شاء الله ربي يوفقق ياعلاء انسان طيب وعلى اخلاق عالية بارك الله فيه أبدعت يا وليد التونسي ألف قبلة علي جبين أمك فقد أنجبت رجلا بحق شكرا أيها الفنان معلم وحدك وحدك احسن سيتكوم عجبتني بالدموع أو مل روعة مش نرمال وهرا وزين تالحصيلو ربي يهنيك ويخليلك المدام انسان ضامر ومتربي برافو راجل تباركله عليها بنتك كالقمر خاصة انها عندها اب مثلك لازم انك تفتخر بالامورة رحمة نحن نعشق الحوار التونسي صاحب الجو و الربوخ محلاك مروى و نشاء الله من حسن إلى أحسن ضامر و صاحب جو ربي يوفقك يا جلول يا معلم يا معذبهم احسنت فيما قلتها حنان الشقراني احسن تعجبني كإمرأة متزنة مستقيمة و إبتسمتها متفرقهاش برافو وليد فرهدتلنا على قلوبنا رجال وسيد الرجال عجبتني اللحمةبين الاخوة فعلا انت سيدة تونس بإمتياز، كلنا ثقة في آرائك وندعمك دائما، وأتمنى لو نساء تونس الكل يكونو مثل السيدة الفاضله محرزية العبيدي الفة فنااااانة في كا شيء بكل ما تحمله الكلمة من معنى بصراحة روعة روعة روعة لطيف وحدك في الضحك ماشاءالله تبارك الله ربنا يحفظها ويمد فى عمرها انشاء الله,Positive
لمين وحدو في اافكاهة,Positive
مومثلة ناجحة او نتمنلالها مسفقبل مليء بل اعمال الجيدة,Positive
تعرفو كرهتوني في قنات تونسي برمجكم اخي اخي بكل مصظين برشا,Negative
مااسقطو راجل توه الحبس تنحات منو الصبة والراقو مكذبك عندي احساس الا عدوه للدراقة هههه خرج يهتري بالحبس تي المهم لكلها لغة باش يكمل عروضو في الحبس,Negative
هذا انسان يحارب في الميوعة وقلة الحياء انا معاك يامعلم,Negative
محلاها نحبها برشااااا,Positive
ماااااااااسط حتى بالقارص ميتهضمش,Negative
و الله يا هاجر صحة ليه اللي باش ياخذك و تشرّف أي تونسي يا بنت بلادي و محلاك,Positive
تحفة,Positive
كم انت تونسي يا وليد برافو وليد,Positive
الي عجبني فيهم رغم طلاق بوهم من امهم و بوهم غايب عليهم سنة يلوجو على بباهم حاجة باهية برشة في المجتمع ريتو الفرحة كفاش ريتو اللمة بلا بو و ام مهيش معيشة و اغلا حاجة عندي انا ربي سبحانو و الوالدين نقولهم ربي يدوم محبتكم و ربحتو حاجة في الدنيا هي رضاية الوالدين اخوكم مراد من الجزائر,Positive
لحاااااااااااس,Negative
معلم اما ينقص مل كلام الفارغ,Positive
برااااافو,Positive
يعطيه زلزاااااال مامسطوووووووو وما ارزنوووووو موش متربي ومش محترم ويتڨوعر برشاااا,Negative
تعجبني,Positive
يهبل جعفور وين مايمشي يحفلها ويضحكنا من غير ما يسيئ لأي شخص,Positive
المسلسل لي تحكو عليه والله سمعت بيه كان من تعليقاتكم ههههه كفاش تتفرجو عليه و كفاش يطاوعكم قلبكم تشوفو هاذي التفهات الله يهدي,Negative
تافه وحتى المخرجين الي اتعامل معاهم يعرفوه هاك علاش ما يعطيوه كان دور قوااد والا عساس والا لحاس,Negative
برافو عقلية الاعتذار ما فهموهاش جتهم صعيبة عباد خدمتها التنبير والبندير,Positive
حليلك يا مهدي شنوة باش تقاصي,Positive
كارثة متنقلة ها الفاسقة,Negative
اش باش تردوه علاش ملائكة ماو طحان مثل بقية برشة طحانة,Negative
غبي لدرجة تجعله يتخيل ان المشاهد لم يتفطن للونه النهضاوي من أول ظهوره في هذا البرنامج مقاطعاته المتعمدة لكل متدخل يتكلم في الترويكا و خصوصا النهضة وحلفائها فيه استفزاز الى حد التشويش,Negative
سامي كراكوز,Negative
توفيق الغربي نوع من الارهاب السمعي و البصري والمعنوي بالنسبه ليا خييبييبببببببت,Negative
ماشية و تعدم و تمساط ولات تقزز يا حسرة على بية متاع قبل يا لطيف اللطف,Negative
مسكينة إنتي انسانة مريضة واحمد الأندلسي يشرفك ويعرفك يا ماصطة ،شكونك إنتي جرد ممثلة,Negative
توجع الرأس,Negative
معلم كريم,Positive
معلم توتو,Positive
مستويات ههععع,Negative
طحانة,Negative
جعفورر,Positive
عبيط واقرع وزمباوي,Negative
تحية للاب المناضل,Positive
الله يرحم والديك كيف رحمة اناس ربي اجازيك كل خير وربي يعتيك علا قد قلبك,Positive
أمسط وأعدم عباد ربّي,Negative
رجل دين لكنو منافق و مراوغ ربي يهديه غلى علينا الخبزه,Negative
لا يليق بهذا البرنامج,Negative
مبرووووك بنت لجنوب,Positive
حقيقة شيء مخزي وعار على الامة العرية كل هذه التفاهات التي يقدمها اع مها سواء في تونس او غيرها كل ما يبثونه من برامج يتناسب مع ما نحن فيه و يخدم قضيتنا التي تركناها وتفرغنا للمسلس ت التافهة والبرامج القذرة التي تنخر افكار شبابنا وعقول صغارنا وهذا ما يريده الغرب ان نبقى غافلين عما نحن فيه امتنا تشتت وثرواتنا تنهب وشبابنا يقتل ويكفر في بعض تبا لهذا الاع م ولهذه القنوات الفاسدة التي تصلح لشيء ا الى زرع الفتنة و اشاعة الفاحشة وتدمير القيم والاخ ق,Negative
ريم الرياحي محلاك محلاك محلاك مللخر هذي المرا التونسية,Positive
مستوى منحط يا علام العار,Negative
الناس الكل تحبهابرشة برشة,Positive
مستوى منحط,Negative
تافه وماسط وبليد ويقزز وساقط و واطي وتفوه عليه,Negative
هههههه احنا اعجبتنا في التمثيل,Positive
الي يعجبني فيه ضمارو التلقائي معلم,Positive
محلى زينك كل يوم حبك يزيد كل يوم و جمالك يزيد نورة الحلقة والله أنا نحبك و نقلك واصل,Positive
نور شيبه ديما متالق ديما يصنع الجو و ربوخ وهره و قد و صوت,Positive
انتهازي,Negative
كلب,Negative
اعز رابارات في تونس بلطي و كافون,Positive
بالرجولية ماسط ويا سامي راجع الفريق متاعك,Negative
رجال والله صاحب موقف ويعجبني إلي يصارح بكل تلقائية,Positive
برافو لطفي واصل إنت ممثل وكوميدي موه وب عندك طريقتك الخاصة صحيح أما زادة عندك برشا ناس تحبك وتعتبر ناجح والنتيجة التتويجات,Positive
خدام و يحب يوصل،ربي معاك و عمل على روحك ممثلة مزيانة و عندها لقبول تنجح هههههههه روعة برافو ناجي جلول ممثله تحفونه برشا تعودنا بيها في الأدوار الكوميديه نوفل الورتاني أفضل منشط معلم يا جعفور وحدك يا شيخ يا تحيفه التلفزه في رمضان مساطت بلا بيك كرمك الله,Positive
والله مسلسل حلوى برشا,Positive
سيدة المسرح,Positive
امسط منهم ماريتش العربي و كريم و زعيمهم نوفل,Negative
برشا ضحك روعة,Positive
الكبير كبير يا بابا,Positive
لها شان في التمثيل مستقبلا ربي معاها وان شاء الله من حسن الى احسن,Positive
حسين الديك والله حفلها منور كلام الناس و منور تونس و باش تنورنا في سوسه,Positive
وليد التونسي معلم اشكون باش يتكلم,Positive
برافو احمد الاندلسي راجل وابن راجل وموقفك كله رجوله,Positive
مسطوها تقسط علينا كمرت البو صب الحلقه و يزي فك,Negative
نكره وقاحة في الحديث مع من هم اكثر منها علما مثل الشيخ وز ادا مع وليد التونسي الي هو أشهر منها تمادت في تفاهتها الله يهدي,Negative
احمد الاندلسي يقريك يا بهيمة و الملهط تدافع على الميبون ، و لو كان موش كرني الكريدي ما تدخلش التلفزة,Negative
قداااااااش ماسط ططططط متع الوزير في القهوة تكب سعدها تونس,Negative
أعوذ بالله,Negative
برافو عماد دغيج علقل رفعت روس التوانسة ماخليتش بن علي يضحك علينا الليلة براااااافو,Positive
تفووووووه عليها,Negative
عسسسسل اما في احلى صباح على موزايييك أحسن,Positive
بهي ومحترم حدها حد روح,Positive
شكرا نوفل على استضافتك للنجمه المتألقة دوما ملكة الاحساس ميساء الماجري محبوبة الجماهير,Positive
كل مرة يجبولنا جرثومة الله يهلكهم,Negative
عسل,Positive
قحبة كبيرة,Negative
مغفل,Negative
عندك كريزمة و وهرة يا وجيهة الحسيلو الحوت عليك,Positive
هو و مقداد السهيلي حقهم ياخذو نوبل للمساطة و التفاهة و التبندير,Negative
يهلكهم ربي,Negative
الأخت محرزية سياسية راقية في الفكر و التفكير,Positive
أعز و أحلى و أحسن ممثل قداش يعجبني و يضحكني برافوا لطفي,Positive
منوره,Positive
ماشاءالله عليهم البنيات ، يفرهدو عالقلب ، هاجر وهند ، محلاهم محلاهم ، وربي يحفظلهم بوهم ويلم شملهم على خير من احلى حلقات البرنامج,Positive
عملت العاااااااار لا ذات ولا صفات,Negative
لغة الحوار مفقودة مسلسل أتفه من التفاهة حقا القاضي الرحموني لم يكن مقنعا في تبريراته حول سراح المشتبه بهم في قضايا ارهابية لذا كان عليه ان يصمت احسن جاهل متاع راس لنبوط اوووه ممسطو وكان مشي عمل حاجة اخرى خير ملا مجانين وسامي معاهم امسط انسان على وجه البسيطة تجمعي تعيس ماعندوش اخلاق وزايد جايبينو عمري ما ريت قفة كيما ريتها اليوم برا ربي يخزيكم كيف ما خزى اليهود و يمسخكم كيما مسخهم بصراحة يخوف يظهر كلوشار حالة حليلة بالوشم هز مارق جيب مارق ماسطة برشة مخيبو مخيب وجهو هالاحول الحمدلله مرتاحين من منذرو هل اسمو شكيب مرزن ملايكتو و طينتو الكل ماسطين منحط لا تربيه لا ثقافه تو من قلة المسرحيين جايبينو هنكره و تو هذا تسميوه مسرحي من اصلو بربي فيق شوية على روحك إنت ماعندكش أغاني تتسمع أصلا، و راك أتعس نقابي عرفتو تونس و ماكش شيخ اكبر شعب منافق هو الشعب التونسي في الشارع بعد الثورة تسمع كلام يقشعر البدن و في التلفزة نوليو شعب كامل محافظ بربي يزيو من الريق البارد العيب في مقدم البرنامج اللي وضع تلك الصورة لامرأة شبه عارية انا امي صفاقسية و محسوب صفاقسي مولود و عايش هوني في صفاقس اما الصفق خايبين عنصريين و حقارة و مسمامين و ما يحبوا حد و دينهم الفلوس و المظاهر مش تسخف تتزعبن لاعبتها قافزة و تتشنفخ راك مجيت شي و كيما قال كافون راك ماست راك لاسط شكون انت باش تحكي على احمد الاندلسي غير توصلو مسقتها إيناس ومعجبتنيش الحلقه مسخة مكانش امصط منكم يا مصطا ولاد الفساد وفلة الحياء وقلة المعروف والفجور والفسق والخروج عن طاعة الله في شهر كريم هذا نموذج من الإعلام التونسي الفاسد الرديء والمشجع رقم للفساد والفجور القوة الربي كل مرة أمسط ملي قبلها تي برا روح خلط في خلط حكاية فارغة و قصة سخيفة لوكان لهوفتوه المسلسل من عمناول خير مالطول الفارغ سيناريو ردئ و فازات محروقة مسلسل بارد ماسط قناة الحوار على قد ما عطيناكم ثيقتنا على قد ماقاعدين تخدلوا فينا احنا مانكرهوكمش أما أنتم ماتحبوناش راك ماسطة،راك لاسطة مغرور وتافه لا يريد الا الاطراء والتمجيد ويكفي انه يشتغل في قناة السارق سامي الفهر غلام الطرابلسية لقد وضعته الصدفة ليكون في مشهد اعلامي لا يتربع على عرشه الا الاراذل ويني حلقة سامي الفهري الي باش تكسر الدنيا طولت برشا لكن في الأخير طلعت بصاص كيما معز بن غربية و البقية فكر متشدد ديني نهضاوي خوانجي صحيح الكلمة عيب و ما تجيش اما كيما قال يستفزو في الناس بصور خليعة يحترموا شوية الي قدامهم ايكب سعدك يا قطعي يا وبش يا وخياني اش نكرهم جماعة النهضة الصورة التي عرضتوها عليه اوقح من الكلمة لي قاله عيب عيب بربي بية دقيقة دقيقتين و هي تهبط في المريول و هي روبا راك مرجتنا تحب تقول عزوزة و مازلت عندك ما توري بربي احشم شوية و اعطي شوية قدر لعمرك راك غلبت علينا ووووه اش كرهتو ها المسلسل,Negative
يا بهيايم جماعة كلام الناس زعمة هذا لمل صدفة نهار مارس يوم الارض جايبين على اليهود ملا طحانة و عملاء,Negative
ما نبالغش كنقول تونس كاملة تحبها كممثلة ناجحة ومن أحسن الممثلات في تونس,Positive
ملا تافه,Negative
يا امين صلي على النبي قلو ١٠٠٠٠٠تكفيريين في صفاقس,Positive
عسل,Positive
المرأة الحديدية احبها فالله,Positive
لا حول ولا قوة الا بالله تفوههههه,Negative
صوت رائع جدا و جمالها غير عادي صوتها متاع مباشر ماهيش كيما مطربات الماكينة و الصوت المضروب بالفلسة و المونتاج و التركيب و التحسين,Positive
لا تفرجت في مكتوب ولا اولاد مفيدة قاطع و الرخ لا قناة الفساد رمضان شهر العبادة و انتوما وراكم لوبيات فساد تدعم في الفهري اليوم في جوهرة صحفية تدعو الاباء لعدم السماح لابناءهم بمشاهدة المسلسل خاطر قلة الحياء و الحمد للله مازال فما شرفاء و مسلمين على قاعدة,Negative
مريم مريمتي محلاك مريومة وفسخ وبدا من جديد,Positive
مهضوم ومنشط روعة تحياتي,Positive
قصة رووووووعة وخدمة في حقها,Positive
ملا رهط العيب موش فيه في الاعلام الماجور اللي عمل لناس هذ قيمة التافه ولا عندو قيمة فالبلاد تاااااااافه تفووووووه عليك أحمق خماج فولغار مالقيت مانقول رخس لا تعليق وكيما ال هاني جاي فالتوالات,Negative
شكرا على هده الباقة الجميلة من الضيوف حقا كانت سهرة رائعة,Positive
كمشة بهايم في البرنامج، وينك يا شكيب يا معذبهم,Negative
شلاكة، تحكي عالفيلم قالت دخلت أمها تلقاه فوقها تو هذا مستوى تع حديث ؟,Negative
انا ملي شفت الضيوف وشفت فيهم الغربي عرفت الي الحلقة فاشلة بامتياز,Negative
بورحولية الراجل هذا وقفلي مخي كيفاه يحب يرجع بن علي تي مالا وعلاه احنا عملانا ثورة خمر و زنا و فساد و قلة حياء من فوق,Negative
ما لقيتو كان ها البهيم النهضاوي تجيبوه للقناة ؟؟؟؟ مواقفو ظاهرة متعاطف جدا مع حكومة الترويكا و مبيض للارهاب بطريقة غير مباشرة,Negative
حلووه بشر,Positive
برجوليا ما يعجبنيش ماسط لاسط ؤ ما يعرفش يحكي,Negative
قحاب,Negative
حتى بالخل والجفال ما يتهضمش,Negative
يعتبر من اسباب الإرهاب,Negative
الحلقات الكل حلوين احسن مسلسل ولاد مفيدة و دنيا أخرى برافو,Positive
عقربي و جبريا و عل حيط,Negative
راجل,Positive
البت دي خبرة مرمدك سيدك وليد يا كلبة تونس برجالها و إسلامها و دينها واضح الإسلام والكلاب لتنبح كيفك عندها الرجال لتسكتكم,Negative
منين جباه هل البقرة,Negative
بصراحة نور شيبا,Positive
عبيط و اقرع و ماصط,Negative
وجيهة تبقى تبقى دائما وجيهة,Positive
مح ها او مح صوتها,Positive
انا نحبها كوثر بالحاج وخاصة في شوفلي حل,Positive
ماحالاها العائلة كي تحب بعضها و الأولاد يحبو والداهم و يدللاهم في كبرهم ربي يطول أعمارهم و يطول عشرتهم و يهناهم,Positive
برافو وليد محلا كلامك بردتلي على قلبي والله وربي يسترنا,Positive
وحدك يا جعفورة يا باهي,Positive
مسلسلتافه لممثلين تفه في قناة تافهة,Negative
عبد الفتاح مورو معلم,Positive
موش نورمال جو أحلى و أقوى مسلسل و لي معجبوش ميتفرجش و أني نستنى باش نتفرج عليه,Positive
ماسط لاسط بفففففففف,Negative
بداية محترمة,Positive
ممثل ناجح و تستحق الجائزة,Positive
للشهامة عنوان,Positive
ماسط,Negative
لعنه الله على الفاسقين والفاسقات اللهم اطمس على اموالهم واشدد على قلوبهم واخسف بهم الارض حتى يتبن لهم انه الحق اللهم انهم ضلوا واضلو كثيرا من خلقك عن سواء السبيل اللهم دمر الزناه والزانيات في تونس وطهر بلدنا منهم فانهم تجاهرو بمعصيتك وتمادو فيها اللهم ببركه شهرك المبارك افتح عليهم بابا من عذابك يارب العالمين فانهم اشد فسقا من قوم عاد وثمود ولوط امين يارب العالمين,Negative
توفيق الغربي ردىء ومبتذل,Negative
تبارك الله علاها,Positive
قمة التفاهة٠٠٠جبالك الرواسي و لا عبدك الثقيل الرخص,Negative
الغنايه ناجحه الصوت ناجح,Positive
معلم نور شيبا,Positive
عندكم كان هو ؟؟,Negative
روعة يا سامي الفهري,Positive
معلم,Positive
ماسسسطط,Negative
ماسط ماسط ماسط متاع,Negative
صدقني يا شيخ المحاماة تواتيك خير مالسياسة فك عليك منهاولسانك تباركالله عليه لي يغلبك بوه باي,Positive
اذهب وهف يهزك العيب مش فيك فلي عاملك قيمة و قدر و جايبك تحكي قالو حقوق لا يحقلك حق ، انت ليك واحد يحكلك الفلفل فماشي ما تولي امك تقول جبت راجل و خسرت عليه طهارة، اللهم لا تاخذنا بما فعل السفهاء منا,Negative
مخيبك,Negative
وجيهة الجندوبي هي الماسطة وفسدت المسلسل الكل,Negative
تتسشكاو من قلة البركه وللرزق من قلة المطر تتشكاو من الجتمع ، تحللو في ماحرم ربي بإسم حقوق الإنسان وبسم الحريه ألا لعنة الله على القوم الفاسقين يافساق ،,Negative
جبالك الرواسي و لا المنظر هذا,Negative
بلاصتك في الحبس والا الحرق انت وامثالك حتى الموت,Negative
راجل وعليه الكلام و هذا هو فعل النّاس في كلام النّاس معلم وربي يعينو ويدافع على القيم حبيبي منور و موهر أحمد الأندلسي ممثل صنع روحو و خدم و ولد جمعية أما تحسو مقداد سهيلي جنيور هههه عسوله ماتعجبنيش وجيهة متاعنا نحبها بصراحة مسلسل روعة يحكي واقعنا في تونس عندنا براشة ناس كيف كريم وقت يولي عندو فلوس ينسى اصلو محلاها انت معلم سي لمين إنت عسولة و الله رجل و عجبني زيد ولد جمعية برافووووا سامي بصراحه برافووووووو مسلسل حلو برشه برافووووو الليلة عجبني شكرًا فوري بن قمره ربي يبارك فيك و يكثر من أمثالك جعفور انت انسان مبددددع ممثل موهوب مقدم بحبحوح و بالاخصوص انت مالعباد الياسر انساني احسنت جعفور واصل يا مهبلهم بالاحمر برافو نحن نعشق الحوار التونسي ههههه يعطيك الصحة سامي برافو انا والله نتفرج كان على الحوار التونسي راجل و سيد الرجال نحبها وحدك يا معلم انا من الجزائرب من اشد معجبين بالحوار التونسي أولاد مفيدة مسللسل رائع,Positive
